1	IMPRESORA                                                                                           	2	100	2020-08-01 10:11:47.143382+02
2	RATON                                                                                               	1	10	2020-08-02 08:14:37.553382+02
3	ORDENADOR                                                                                           	1	500	2020-08-02 12:05:22.435789+02
4	IMPRESORA                                                                                           	3	150	2020-08-03 13:15:23.124321+02
5	ORDENADOR                                                                                           	1	600	2020-08-04 09:35:42.456321+02
6	ALFOMBRILLA                                                                                         	5	100	2020-08-04 14:21:34.678092+02
7	USB                                                                                                 	3	100	2020-08-05 10:12:45.541289+02
\.


